"SKS","Antal i Åbningstid","2018_2019"
"UXUG02/UXUG02/UXUG15/UXUG15","   1","   1"
"UXUG15/UXUG15/UXUG25/UXUG25","   1","   1"
"UXUG15/UXUG25","   1","   1"
"KFJA12",NA,"   5"
"KJHA00",NA,"   2"
"KGAA10/UXUG05B",NA,"   1"
"KJDB10/KJJA10A/KJAA00A",NA,"   1"
"KJHA20",NA,"   1"
"KJHA20/KTJA10A",NA,"   1"
"KJKA16/UXUD10",NA,"   1"
"KJAA00A/KKKA20A/KTJA00/KTJA10A/UXUD38",NA,"   1"
"KJAA00A/UXUD15",NA,"   1"
"KKKA20A/UXUD15",NA,"   1"
"KTGA30B/KTJA00/UXUC15",NA,"   1"
"KTJA10A/UXUD15",NA,"   1"
"KTJA40/UXUD25",NA,"   1"
"KTJK40",NA,"   1"
"KTNG00/UXUG02",NA,"   1"
"UXUD10/UXUF00",NA,"   1"
"UXUD10/UXUG00",NA,"   1"
"UXUD10/UXUG02",NA,"   1"
"UXUD61/UXUD61",NA,"   1"
"UXUD61/UXUG05B/UXUG05B",NA,"   1"
"UXUF05",NA,"   1"
"UXUH00",NA,"   1"
