"SKS","Antal i Åbningstid","2018_2019"
"UXRC20/UXRC20/UXRF15/UXRF15",NA,"    1"
"UXRC20/UXRF12/UXRF12/UXRF30",NA,"    1"
"UXRC20/UXRF15/UXRF20/UXRF25",NA,"    1"
"UXRC20/UXRF15/UXRG10",NA,"    1"
"UXRC20/UXRF40/UXRF50/UXRG27/UXRG40",NA,"    1"
"UXRC20/UXRG25/UXRG27",NA,"    1"
"UXRE10/UXRE20/UXRE30/UXRF40/UXRF45",NA,"    1"
"UXRE10/UXRG30/UXRG40",NA,"    1"
"UXRE20/UXRE30/UXRE50",NA,"    1"
"UXRE20/UXRE30/UXRF25/UXRG25",NA,"    1"
"UXRE20/UXRE30/UXRG25/UXRG40",NA,"    1"
"UXRE20/UXRE30/UXRG30",NA,"    1"
"UXRE20/UXRE30/UXRG50",NA,"    1"
"UXRE20/UXRF15",NA,"    1"
"UXRE20/UXRF40",NA,"    1"
"UXRE20/UXRG10/UXRG15",NA,"    1"
"UXRE30/UXRE50/UXRG10/UXRG15",NA,"    1"
"UXRE30/UXRF15/UXRG10/UXRG15",NA,"    1"
"UXRE30/UXRF25/UXRG25",NA,"    1"
"UXRF10/UXRF12/UXRF12",NA,"    1"
"UXRF10/UXRF12/UXRF12/UXRF15",NA,"    1"
"UXRF10/UXRF20",NA,"    1"
"UXRF15/UXRF20/UXRF40",NA,"    1"
"UXRF15/UXRF25/UXRF40",NA,"    1"
"UXRF15/UXRF25/UXRF40/UXRF50",NA,"    1"
"UXRF15/UXRF25/UXRF40/UXRG10/UXRG15",NA,"    1"
"UXRF15/UXRF25/UXRF50",NA,"    1"
"UXRF15/UXRF40/UXRF50/UXRG10/UXRG15",NA,"    1"
"UXRF15/UXRG10/UXRG15/UXRG20",NA,"    1"
"UXRF15/UXRG15/UXRG25/UXRG27",NA,"    1"
"UXRF15/UXRG25/UXRG27/UXRG50",NA,"    1"
"UXRF20/UXRF50",NA,"    1"
"UXRF20/UXRG25",NA,"    1"
"UXRF25/UXRF25/UXRF30",NA,"    1"
"UXRF25/UXRF25/UXRF40",NA,"    1"
"UXRF25/UXRF25/UXRG40",NA,"    1"
"UXRF25/UXRF30/UXRF30",NA,"    1"
"UXRF25/UXRF30/UXRG50",NA,"    1"
"UXRF25/UXRF50/UXRF50",NA,"    1"
"UXRF25/UXRG40",NA,"    1"
"UXRF30/UXRF40/UXRF40/UXRF45/UXRG25/UXRG27",NA,"    1"
"UXRF30/UXRF40/UXRF40/UXRF45/UXRG50",NA,"    1"
"UXRF30/UXRF40/UXRF50/UXRG25/UXRG27",NA,"    1"
"UXRF30/UXRG25/UXRG27",NA,"    1"
"UXRF30/UXRG40",NA,"    1"
"UXRF40/UXRF40/UXRF45/UXRF45/UXRG25/UXRG27",NA,"    1"
"UXRF40/UXRF40/UXRG30",NA,"    1"
"UXRF40/UXRF45/UXRG10/UXRG15",NA,"    1"
"UXRF40/UXRF50/UXRG40",NA,"    1"
"UXRF40/UXRG10",NA,"    1"
"UXRF40/UXRG25/UXRG30",NA,"    1"
"UXRF50/UXRG15/UXRG20",NA,"    1"
"UXRF50/UXRG20",NA,"    1"
"UXRF50/UXRG25/UXRG27/UXRG40",NA,"    1"
"UXRG10/UXRG15/UXRG15/UXRG40/UXRG50",NA,"    1"
"UXRG10/UXRG15/UXRG20/UXRG25/UXRG30",NA,"    1"
"UXRG10/UXRG15/UXRG20/UXRG30",NA,"    1"
"UXRG10/UXRG25/UXRG40",NA,"    1"
"UXRG15/UXRG27",NA,"    1"
"UXRG30/UXRG30/UXRG40",NA,"    1"
"UXRG30/UXRG40/UXRG40",NA,"    1"
"UXRG30/UXRG40/UXRG45",NA,"    1"
"UXRG40/UXRG45/UXRG45",NA,"    1"
"UXRG47/UXRG47",NA,"    1"
